jogo;data_jogo;serie;jogo_serie;cod_equipe;cod_equipe_opont;resultado;minutos;2pts;2pts_at;2pts_pct;3pts;3pts_at;3pts_pct;LL;LL_at;LL_pct;Reb_Of;Reb_Def;Reb_Tot;Ast;Stl;Blk;Turnv;Pts;Game_Score
2;26/04/1998;EC1;2;6;22;W (+5);39;9;19;0.474;0;0;;14;17;0.824;1;3;4;2;1;1;5;32;20
3;29/04/1998;EC1;3;6;22;W (+15);44;16;22;0.727;2;2;1;4;5;0.8;2;2;4;3;2;1;2;38;32.6
4;03/05/1998;ECS;1;6;5;W (+13);44;11;26;0.423;1;3;0.333;12;14;0.857;4;7;11;4;1;1;3;35;26.8
5;06/05/1998;ECS;2;6;5;L (-2);40;10;21;0.476;0;3;0;2;3;0.667;1;4;5;6;0;0;0;22;16.2
6;08/05/1998;ECS;3;6;5;W (+14);39;9;20;0.45;0;1;0;9;10;0.9;3;2;5;6;1;0;3;27;19.9
7;10/05/1998;ECS;4;6;5;W (+14);40;14;31;0.452;0;1;0;3;3;1;0;3;3;4;1;0;2;31;17.2
8;13/05/1998;ECS;5;6;5;W (+9);42;15;29;0.517;0;3;0;3;4;0.75;1;3;4;3;2;1;0;33;23.5
9;17/05/1998;ECF;1;6;14;W (+6);41;11;28;0.393;0;0;;9;10;0.9;2;4;6;1;5;0;1;31;22.3
10;19/05/1998;ECF;2;6;14;W (+6);42;13;22;0.591;0;1;0;15;18;0.833;0;4;4;5;4;0;0;41;37.1
11;23/05/1998;ECF;3;6;14;L (-2);44;9;22;0.409;2;3;0.667;10;12;0.833;1;3;4;7;1;0;5;30;18.7
12;25/05/1998;ECF;4;6;14;L (-2);41;12;27;0.444;1;3;0.333;3;4;0.75;2;3;5;2;0;2;6;28;11
13;27/05/1998;ECF;5;6;14;W (+19);36;12;20;0.6;2;4;0.5;3;4;0.75;1;6;7;4;1;1;0;29;25.6
14;29/05/1998;ECF;6;6;14;L (-3);42;12;23;0.522;1;4;0.25;10;11;0.909;1;4;5;2;1;0;3;35;23
15;31/05/1998;ECF;7;6;14;W (+5);42;9;25;0.36;0;0;;10;15;0.667;5;4;9;8;0;0;2;28;19.2
16;03/06/1998;FIN;1;6;36;L (-3);46;13;29;0.448;1;2;0.5;6;8;0.75;1;2;3;2;0;2;0;33;20
17;05/06/1998;FIN;2;6;36;W (+5);40;14;33;0.424;0;2;0;9;10;0.9;3;2;5;3;1;1;0;37;24.8
18;07/06/1998;FIN;3;6;36;W (+42);32;7;14;0.5;0;0;;10;11;0.909;1;2;3;2;1;1;2;24;18.6
19;10/06/1998;FIN;4;6;36;W (+4);43;12;27;0.444;0;0;;10;15;0.667;3;5;8;2;2;0;3;34;21.5
20;12/06/1998;FIN;5;6;36;L (-2);45;9;26;0.346;0;2;0;10;11;0.909;1;3;4;4;3;0;4;28;14.8
21;14/06/1998;FIN;6;6;36;W (+1);44;15;35;0.429;3;7;0.429;12;15;0.8;0;1;1;1;4;0;1;45;28.5
